@relation eggDataIMP3

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute class {0,1}

@data
63.44,47.58,36.27,27.18,73.92,8613.39,8748.27,75.21,1
60.21,46.13,32.24,27.97,65.31,7925.56,8082.64,67.08,0
60.37,45.02,34.47,25.89,62.40,7692.02,7866.03,64.08,1
59.69,44.08,33.74,25.95,58.79,7399.37,7595.62,60.73,1
61.96,45.85,32.47,29.49,66.80,8061.22,8198.90,68.22,1
63.41,46.81,34.22,29.18,71.35,8428.23,8562.50,72.75,0
65.68,45.56,36.23,29.45,69.78,8360.70,8513.65,71.39,1
59.24,47.65,31.74,27.49,68.25,8125.82,8316.31,70.42,1
58.80,43.98,33.17,25.63,59.43,7430.48,7487.38,59.55,1
60.51,43.88,34.79,25.72,60.01,7529.67,7633.89,60.99,1
58.51,45.65,30.24,28.27,61.71,7616.34,7806.93,63.84,1
57.29,45.18,31.57,25.72,59.35,7386.97,7589.08,61.22,1
59.01,48.67,33.54,25.47,71.42,8360.05,8525.79,73.19,0
60.09,46.67,32.44,27.65,66.16,7996.58,8190.51,68.54,1
57.15,43.31,29.72,27.43,54.20,6991.30,7182.83,56.13,0
58.15,44.06,30.47,27.68,57.87,7290.34,7435.21,59.11,1
63.36,46.70,35.84,27.52,70.59,8379.08,8537.41,72.35,1
60.57,44.49,34.93,25.64,61.60,7629.87,7772.82,62.78,1
63.79,49.71,35.14,28.65,80.46,9109.04,9271.15,82.54,0
58.43,44.27,32.66,25.78,57.70,7308.41,7510.60,59.95,1
62.03,43.88,34.56,27.47,62.03,7712.42,7778.08,62.53,0
60.69,44.08,32.24,28.45,60.45,7557.14,7687.39,61.75,1
60.40,45.06,32.45,27.95,63.29,7775.10,7870.70,64.22,1
64.28,48.67,35.29,28.99,77.56,8896.60,9081.50,79.73,1
60.39,46.76,32.09,28.30,67.48,8075.54,8238.73,69.13,1
62.41,45.77,32.24,30.17,66.18,8038.19,8226.04,68.47,1
61.12,44.40,31.45,29.67,60.94,7611.73,7796.89,63.09,1
61.15,43.54,34.47,26.68,59.25,7467.54,7621.54,60.70,1
59.69,44.58,31.97,27.72,59.61,7467.04,7697.12,62.12,1
61.39,44.48,34.09,27.30,62.42,7725.90,7846.41,63.61,1
58.46,47.13,33.54,24.93,66.48,7979.90,8130.38,67.98,1
62.08,45.70,35.09,27.00,65.40,7941.22,8184.35,67.90,1
63.61,44.95,33.09,30.52,64.69,7936.59,8164.75,67.31,1
60.21,43.08,33.24,26.97,57.55,7339.24,7431.17,58.51,0
59.67,44.75,31.66,28.01,61.53,7635.75,7730.98,62.57,1
59.10,46.78,31.44,27.66,65.55,7898.25,8110.93,67.71,1
58.74,47.40,33.04,25.70,66.58,7981.86,8214.96,69.09,1
58.85,44.52,30.68,28.16,59.53,7446.02,7600.64,61.08,1
56.94,44.35,31.24,25.70,57.24,7248.14,7382.14,58.65,1
56.19,44.35,30.24,25.95,55.42,7083.80,7307.81,57.88,1
59.71,43.40,33.61,26.10,56.86,7278.83,7452.98,58.89,1
59.99,47.85,31.66,28.33,69.69,8228.52,8437.23,71.91,1
62.74,47.38,31.77,30.97,71.43,8405.28,8616.99,73.73,1
64.28,44.38,34.04,30.24,64.11,7908.68,8104.20,66.28,0
60.05,44.23,34.17,25.88,61.78,7641.71,7662.51,61.50,1
61.62,46.28,33.46,28.16,68.02,8141.46,8259.82,69.09,0
55.97,43.05,30.91,25.06,52.70,6849.95,7022.70,54.33,1
59.63,45.28,31.19,28.45,62.01,7665.98,7838.89,64.01,1
56.06,45.58,29.98,26.09,58.40,7336.79,7549.34,60.98,1
58.46,44.10,31.52,26.95,57.98,7328.71,7476.26,59.54,1
57.01,43.40,30.79,26.22,54.72,7058.65,7190.94,56.24,1
57.40,42.56,30.72,26.68,52.68,6881.80,7053.65,54.44,1
57.24,43.13,32.29,24.95,54.62,7046.89,7159.84,55.74,1
61.19,44.75,34.16,27.03,62.67,7752.73,7885.96,64.17,1
61.53,45.97,32.68,28.85,65.56,7965.20,8182.11,68.09,1
59.56,44.37,33.47,26.09,59.91,7504.20,7642.45,61.38,1
60.88,44.29,30.95,29.93,61.26,7603.97,7749.83,62.54,1
58.85,44.02,30.67,28.18,57.92,7313.42,7494.88,59.72,0
64.28,47.40,33.76,30.52,74.14,8652.93,8784.78,75.61,1
61.83,46.89,34.46,27.37,69.50,8274.80,8419.48,71.17,1
61.11,48.25,33.06,28.05,73.18,8523.36,8647.73,74.50,0
63.33,47.70,32.54,30.79,73.40,8580.58,8752.75,75.44,0
64.37,47.78,34.44,29.93,75.85,8770.18,8883.17,76.95,0
61.24,45.35,31.74,29.49,63.19,7772.19,8015.21,65.95,1
59.01,46.15,30.24,28.77,64.01,7799.37,7964.22,65.81,1
60.51,46.90,30.74,29.77,67.91,8125.73,8280.27,69.69,1
58.67,46.33,31.97,26.70,63.33,7738.82,7972.70,65.94,1
58.04,45.68,31.57,26.47,60.98,7551.91,7768.09,63.40,1
59.88,44.29,34.21,25.68,59.82,7485.34,7660.68,61.51,0
59.19,44.33,32.22,26.97,58.54,7382.56,7596.15,60.91,1
59.62,46.54,31.94,27.68,65.70,7940.35,8113.38,67.62,1
58.63,48.06,29.70,28.93,69.81,8235.88,8342.25,70.92,1
58.15,47.08,31.95,26.20,66.11,7952.98,8083.06,67.50,1
59.06,45.20,31.04,28.02,61.50,7623.78,7766.77,63.19,0
58.56,43.68,31.57,27.00,57.07,7259.17,7396.74,58.50,0
61.71,45.58,32.76,28.95,65.70,7987.34,8114.50,67.14,0
59.67,48.10,31.47,28.20,68.77,8166.43,8461.01,72.30,1
61.81,48.20,33.06,28.74,72.22,8460.28,8707.75,75.18,1
60.53,45.46,31.90,28.63,63.73,7754.17,7968.19,65.49,0
61.30,43.83,35.21,26.09,60.42,7570.87,7701.08,61.67,1
60.01,45.65,32.79,27.22,63.45,7781.27,7960.32,65.48,1
58.48,43.95,29.83,28.65,56.05,7152.83,7443.94,59.16,1
59.15,47.58,30.95,28.20,68.37,8128.21,8291.50,70.12,1
63.01,44.65,32.93,30.08,63.91,7872.93,8037.86,65.77,1
59.13,45.04,31.95,27.18,61.84,7634.19,7741.07,62.81,1
62.84,44.24,32.92,29.92,62.24,7718.82,7932.11,64.40,1
63.84,45.49,32.44,31.41,68.67,8233.65,8308.39,69.19,0
60.01,42.38,31.02,28.99,54.09,7041.90,7260.05,56.43,0
59.06,43.93,32.07,27.00,58.08,7353.40,7497.95,59.68,1
61.05,48.41,32.66,28.39,71.88,8411.66,8676.00,74.92,0
59.83,48.04,31.52,28.31,66.66,7982.78,8462.88,72.29,1
61.52,44.20,32.65,28.87,62.30,7656.61,7793.33,62.92,0
59.57,44.49,31.42,28.15,59.55,7446.13,7665.27,61.74,1
58.51,46.67,32.52,26.00,63.39,7742.59,8032.63,66.74,1
54.65,44.08,29.70,24.95,53.70,6922.05,7104.02,55.60,1
59.62,48.22,32.07,27.55,69.88,8251.09,8483.50,72.59,1
62.05,46.23,31.91,30.14,68.14,8133.45,8291.27,69.45,0
62.66,46.76,32.09,30.57,70.15,8312.37,8470.66,71.73,1
60.19,43.83,31.24,28.95,59.66,7480.90,7584.30,60.55,1
61.99,45.38,33.24,28.74,64.33,7872.32,8097.25,66.83,1
61.71,47.87,31.97,29.74,71.06,8375.56,8623.39,74.06,1
61.51,46.40,31.02,30.49,67.47,8104.57,8272.15,69.34,1
64.11,46.95,35.56,28.55,71.98,8491.66,8669.01,73.99,0
63.49,44.60,34.76,28.72,64.71,7939.57,8078.07,66.13,1
61.92,46.83,32.99,28.93,68.16,8154.28,8413.01,71.11,1
62.15,46.42,34.00,28.15,67.17,8110.94,8347.46,70.13,1
57.74,45.65,32.54,25.20,60.82,7546.92,7736.54,63.00,1
60.06,45.95,31.57,28.49,63.53,7786.61,8028.28,66.40,1
60.66,46.42,31.69,28.97,66.48,8020.52,8192.19,68.45,0
60.32,44.52,30.24,30.08,59.93,7520.44,7743.58,62.60,1
60.74,45.63,33.29,27.45,64.39,7857.81,8028.41,66.20,1
59.24,44.83,30.42,28.83,58.85,7392.08,7703.74,62.34,0
60.79,45.68,30.87,29.93,65.53,7944.64,8041.67,66.42,0
63.94,47.58,35.23,28.72,75.09,8718.63,8795.74,75.81,0
60.17,46.58,30.47,29.70,66.21,7985.45,8175.94,68.36,1
66.91,42.77,37.00,29.92,63.22,7911.96,8006.77,64.09,0
60.40,44.81,32.97,27.43,61.04,7580.96,7817.87,63.51,1
59.15,44.31,33.47,25.68,59.93,7486.14,7591.84,60.81,1
59.15,45.76,32.62,26.52,63.03,7714.31,7898.53,64.85,1
61.62,49.30,32.45,29.17,75.96,8709.94,8936.63,78.41,1
60.42,46.04,30.32,30.10,65.35,7939.45,8082.82,67.06,1
61.71,44.60,31.47,30.24,63.64,7833.87,7898.95,64.29,1
57.31,45.98,29.54,27.77,61.49,7583.57,7757.37,63.45,0
62.86,47.97,31.82,31.04,74.41,8647.51,8765.61,75.75,1
61.98,48.10,33.13,28.86,72.77,8511.92,8704.50,75.09,1
62.24,45.35,34.26,27.97,65.59,7987.70,8119.44,67.03,0
59.84,45.45,30.54,29.29,63.64,7798.49,7896.63,64.73,1
58.21,44.30,29.39,28.83,58.07,7308.46,7490.23,59.81,1
61.81,44.98,32.16,29.65,63.60,7796.68,7991.55,65.48,1
60.54,45.37,31.79,28.75,63.65,7817.92,7949.00,65.24,1
60.91,47.49,31.94,28.97,69.66,8256.78,8454.12,71.93,1
60.21,47.62,31.47,28.74,70.20,8287.94,8411.26,71.51,1
59.12,45.23,30.54,28.58,61.14,7588.06,7777.89,63.33,1
59.83,44.51,31.42,28.41,60.70,7564.00,7694.22,62.06,1
57.13,44.56,29.18,27.95,57.71,7282.52,7439.97,59.40,1
63.01,46.71,33.54,29.46,69.04,8242.97,8497.10,71.98,0
61.39,47.31,30.93,30.45,68.90,8191.14,8462.58,71.95,1
64.32,46.23,33.43,30.89,67.79,8149.11,8523.48,71.99,0
58.99,47.10,30.88,28.11,65.84,7920.17,8169.45,68.52,1
62.87,45.53,32.19,30.68,67.05,8087.77,8217.09,68.23,1
58.50,44.20,30.13,28.37,58.03,7275.09,7497.44,59.83,0
58.31,46.42,31.32,27.00,64.12,7803.64,7955.23,65.80,1
61.76,47.40,31.99,29.77,69.38,8239.51,8521.07,72.65,1
64.36,48.22,33.81,30.54,76.40,8816.56,8982.40,78.36,0
64.83,45.43,33.67,31.16,68.61,8262.02,8394.69,70.07,0
57.58,43.26,29.68,27.90,55.59,7100.87,7212.33,56.41,1
62.67,45.06,31.97,30.70,65.39,7965.48,8094.51,66.63,1
68.54,46.95,35.15,33.39,76.07,8774.40,9125.10,79.10,0
63.76,45.63,36.29,27.47,67.27,8131.54,8337.57,69.49,0
63.09,47.01,34.44,28.65,71.93,8451.40,8576.19,73.01,1
59.77,45.21,32.40,27.37,62.70,7664.42,7840.75,63.97,1
62.55,44.97,33.16,29.39,65.75,7974.65,8063.57,66.23,1
60.21,44.35,32.52,27.70,61.10,7604.27,7700.06,62.02,1
62.61,46.14,32.97,29.64,66.91,8099.08,8328.35,69.79,0
62.80,46.29,32.02,30.78,69.86,8330.09,8380.42,70.47,1
59.49,46.07,32.37,27.12,63.06,7721.16,7999.29,66.12,0
57.33,46.28,30.67,26.66,62.26,7622.44,7823.93,64.28,0
59.17,43.31,30.22,28.95,55.82,7159.54,7375.30,58.11,1
58.08,44.26,29.43,28.65,58.23,7328.74,7468.96,59.57,1
57.06,46.13,28.76,28.31,61.84,7585.06,7763.77,63.58,1
62.56,47.25,33.66,28.90,69.94,8276.24,8573.51,73.13,1
60.65,48.33,31.20,29.45,71.25,8375.88,8614.34,74.19,1
58.07,45.01,29.42,28.65,60.94,7536.68,7625.77,61.59,1
59.92,45.83,31.20,28.72,64.78,7873.66,7987.81,65.91,1
60.82,45.24,31.16,29.67,63.40,7758.52,7950.05,65.19,0
60.26,45.90,30.52,29.74,64.48,7859.05,8035.78,66.47,1
57.19,45.85,29.22,27.97,61.24,7560.36,7717.86,62.96,1
59.96,48.37,31.22,28.74,70.98,8345.70,8551.64,73.47,1
61.40,44.81,30.95,30.45,62.33,7701.46,7913.22,64.56,1
60.26,46.15,30.49,29.77,65.38,7926.66,8090.29,67.20,1
62.61,45.01,31.44,31.17,64.83,7913.43,8075.98,66.40,1
61.42,47.53,33.84,27.58,69.75,8252.36,8520.75,72.67,0
61.69,47.35,33.22,28.47,70.32,8330.50,8506.36,72.43,1
60.45,44.86,31.59,28.86,62.22,7684.56,7830.83,63.70,1
62.33,46.39,32.90,29.42,66.97,8092.07,8355.03,70.23,1
60.74,45.01,30.53,30.21,62.51,7706.43,7891.25,64.44,1
66.38,44.51,33.69,32.69,67.44,8192.37,8340.32,68.85,1
63.08,46.20,32.32,30.77,68.00,8171.18,8389.02,70.50,1
60.19,44.83,31.22,28.97,61.54,7629.35,7798.34,63.34,1
63.41,46.81,33.71,29.70,71.02,8393.24,8561.41,72.75,1
60.37,45.79,30.68,29.68,64.94,7898.51,8023.47,66.28,1
59.77,46.72,30.13,29.64,65.86,7895.20,8166.35,68.33,1
59.71,44.60,32.74,26.97,60.99,7588.70,7705.77,62.20,1
58.59,44.11,30.78,27.81,57.44,7274.04,7488.48,59.69,1
60.81,48.00,30.67,30.14,71.06,8325.25,8556.30,73.36,0
57.65,47.04,29.57,28.08,65.04,7868.84,8017.43,66.78,0
56.48,45.51,29.01,27.48,59.17,7399.54,7575.15,61.25,1
55.58,44.77,28.18,27.40,56.83,7180.78,7332.71,58.34,1
62.46,45.10,32.47,29.99,65.99,8019.45,8083.45,66.53,1
57.97,46.05,29.21,28.76,63.37,7752.01,7836.79,64.35,1
