A,B,C,D,VOLUME,AREA,AREA_FORMULA,VOL_FORMULA,ECLODIU
63.44,47.58,36.27,27.18,60.00,8613.39,8748.27,59.54,1
60.21,46.13,32.24,27.97,54.45,7925.56,8082.64,54.45,0
60.37,45.02,34.47,25.89,52.57,7692.02,7866.03,52.57,1
59.69,44.08,33.74,25.95,50.25,7399.37,7595.62,50.48,1
61.96,45.85,32.47,29.49,55.41,8061.22,8198.90,55.16,1
63.41,46.81,34.22,29.18,58.35,8428.23,8562.50,58.00,0
65.68,45.56,36.23,29.45,57.33,8360.70,8513.65,57.14,1
59.24,47.65,31.74,27.49,56.34,8125.82,8316.31,56.54,1
58.80,43.98,33.17,25.63,50.66,7430.48,7487.38,49.74,1
60.51,43.88,34.79,25.72,51.03,7529.67,7633.89,50.64,1
58.51,45.65,30.24,28.27,52.13,7616.34,7806.93,52.42,1
57.29,45.18,31.57,25.72,50.60,7386.97,7589.08,50.78,1
59.01,48.67,33.54,25.47,58.39,8360.05,8525.79,58.27,0
60.09,46.67,32.44,27.65,54.99,7996.58,8190.51,55.36,1
57.15,43.31,29.72,27.43,47.28,6991.30,7182.83,47.60,0
58.15,44.06,30.47,27.68,49.65,7290.34,7435.21,49.46,1
63.36,46.70,35.84,27.52,57.85,8379.08,8537.41,57.74,1
60.57,44.49,34.93,25.64,52.05,7629.87,7772.82,51.76,1
63.79,49.71,35.14,28.65,64.22,9109.04,9271.15,64.12,0
58.43,44.27,32.66,25.78,49.54,7308.41,7510.60,49.99,1
62.03,43.88,34.56,27.47,52.34,7712.42,7778.08,51.60,0
60.69,44.08,32.24,28.45,51.31,7557.14,7687.39,51.11,1
60.40,45.06,32.45,27.95,53.15,7775.10,7870.70,52.66,1
64.28,48.67,35.29,28.99,62.35,8896.60,9081.50,62.36,1
60.39,46.76,32.09,28.30,55.85,8075.54,8238.73,55.73,1
62.41,45.77,32.24,30.17,55.01,8038.19,8226.04,55.32,1
61.12,44.40,31.45,29.67,51.63,7611.73,7796.89,51.95,1
61.15,43.54,34.47,26.68,50.54,7467.54,7621.54,50.46,1
59.69,44.58,31.97,27.72,50.77,7467.04,7697.12,51.34,1
61.39,44.48,34.09,27.30,52.59,7725.90,7846.41,52.28,1
58.46,47.13,33.54,24.93,55.20,7979.90,8130.38,55.01,1
62.08,45.70,35.09,27.00,54.51,7941.22,8184.35,54.96,1
63.61,44.95,33.09,30.52,54.05,7936.59,8164.75,54.59,1
60.21,43.08,33.24,26.97,49.44,7339.24,7431.17,49.09,0
