A,B,C,D,Volume,Area,Area_Formula,Volume_Formula,Peso,Densidade_arquimedes,Densidade_imagem,Densidade_formula,Classe
58.52,44.21,30.40,28.12,42.01,68.74,75.03,59.90,53.90,1075.84,1282.98,899.88,1
58.52,44.96,30.90,27.62,47.52,71.70,76.62,61.94,57.50,1070.62,1209.95,928.27,1
59.48,43.68,30.37,29.12,44.70,68.97,74.82,59.41,56.00,1068.60,1252.74,942.55,1
62.62,45.52,32.67,29.95,49.13,72.22,81.92,67.95,62.00,1068.67,1262.02,912.38,1
59.78,44.51,32.81,26.97,49.80,70.33,76.91,62.00,55.60,1073.28,1116.43,896.80,1
60.14,43.73,30.80,29.34,43.63,69.86,75.58,60.22,56.70,1067.67,1299.56,941.47,1
59.33,46.27,30.65,28.68,51.24,74.19,80.24,66.52,58.70,1067.08,1145.59,882.45,0
57.77,44.17,30.50,27.27,44.17,70.01,74.22,59.01,55.10,1076.12,1247.47,933.71,1
56.54,42.49,29.39,27.16,38.37,64.87,69.57,53.44,52.20,1069.72,1360.28,976.71,1
56.24,42.24,30.75,25.49,39.79,71.01,68.83,52.55,51.70,1070.47,1299.41,983.84,1
58.15,45.37,29.59,28.57,47.73,77.91,77.11,62.68,57.50,1076.64,1204.67,917.43,0
60.65,45.30,32.19,28.46,49.37,76.21,79.46,65.17,60.00,1075.04,1215.37,920.73,1
58.54,45.23,29.66,28.89,44.02,72.52,77.20,62.71,58.20,1073.63,1322.27,928.09,1
56.50,44.46,29.37,27.14,43.66,69.01,73.59,58.49,54.80,1068.17,1255.15,936.93,1
54.66,43.63,28.83,25.84,41.49,68.35,70.12,54.48,53.30,1072.45,1284.64,978.28,1
58.48,42.68,30.88,27.60,41.83,70.44,71.79,55.77,53.90,1075.84,1288.64,966.41,1
53.90,43.83,28.71,25.19,38.75,66.08,69.80,54.22,51.20,1078.01,1321.21,944.34,1
59.47,46.42,30.62,28.85,42.73,75.26,80.70,67.11,63.00,1067.47,1474.53,938.79,1
57.73,42.93,30.37,27.37,41.55,71.06,71.60,55.70,54.50,1081.33,1311.53,978.37,1
59.36,43.21,32.58,26.77,43.11,73.71,73.75,58.02,56.00,1070.65,1298.94,965.18,1
58.36,43.78,29.18,29.18,44.08,76.94,73.95,58.57,55.70,1069.01,1263.50,951.07,1
55.62,43.80,28.93,26.69,40.96,70.46,71.38,55.88,55.00,1074.17,1342.92,984.28,0
58.19,42.78,30.35,27.84,41.07,71.30,71.72,55.76,53.80,1071.70,1310.04,964.87,1
