@relation eggData.arff

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute Densidade_Arquimedes numeric
@attribute Densidade_Imagem numeric
@attribute Densidade_Formula numeric
@attribute Perda_Umidade_perc numeric
@attribute Embriodiagnostico {Nascido,Tardia,Inicial,Media}
@attribute Nascido numeric

@data
58.5,44.2,30.4,28.1,42.0,68.7,75.0,59.9,1.636,53.9,1076,1283,900,0.1577,Nascido,1
58.5,45.0,30.9,27.6,47.5,71.7,76.6,61.9,1.509,57.5,1071,1210,928,0.1304,Nascido,1
59.5,43.7,30.4,29.1,44.7,69.0,74.8,59.4,1.543,56.0,1069,1253,943,0.1339,Nascido,1
62.6,45.5,32.7,30.0,49.1,72.2,81.9,68.0,1.470,62.0,1069,1262,912,0.1468,Nascido,1
59.8,44.5,32.8,27.0,49.8,70.3,76.9,62.0,1.412,55.6,1073,1116,897,0.1475,Nascido,1
60.1,43.7,30.8,29.3,43.6,69.9,75.6,60.2,1.601,56.7,1068,1300,941,0.1182,Nascido,1
59.3,46.3,30.7,28.7,51.2,74.2,80.2,66.5,1.448,58.7,1067,1146,882,0.1227,Tardia,0
57.8,44.2,30.5,27.3,44.2,70.0,74.2,59.0,1.585,55.1,1076,1247,934,0.1452,Nascido,1
56.5,42.5,29.4,27.2,38.4,64.9,69.6,53.4,1.690,52.2,1070,1360,977,0.1245,Nascido,1
56.2,42.2,30.8,25.5,39.8,71.0,68.8,52.5,1.785,51.7,1070,1299,984,0.1470,Nascido,1
58.2,45.4,29.6,28.6,47.7,77.9,77.1,62.7,1.632,57.5,1077,1205,917,0.1304,Tardia,0
60.6,45.3,32.2,28.5,49.4,76.2,79.5,65.2,1.544,60.0,1075,1215,921,0.1500,Nascido,1
58.5,45.2,29.7,28.9,44.0,72.5,77.2,62.7,1.648,58.2,1074,1322,928,0.1392,Nascido,1
56.5,44.5,29.4,27.1,43.7,69.0,73.6,58.5,1.581,54.8,1068,1255,937,0.1953,Nascido,1
54.7,43.6,28.8,25.8,41.5,68.4,70.1,54.5,1.647,53.3,1072,1285,978,0.1370,Nascido,1
58.5,42.7,30.9,27.6,41.8,70.4,71.8,55.8,1.684,53.9,1076,1289,966,0.1206,Nascido,1
53.9,43.8,28.7,25.2,38.8,66.1,69.8,54.2,1.705,51.2,1078,1321,944,0.1270,Nascido,1
59.5,46.4,30.6,28.9,42.7,75.3,80.7,67.1,1.762,63.0,1067,1475,939,0.1127,Nascido,1
57.7,42.9,30.4,27.4,41.6,71.1,71.6,55.7,1.710,54.5,1081,1312,978,0.1248,Nascido,1
59.4,43.2,32.6,26.8,43.1,73.7,73.8,58.0,1.710,56.0,1071,1299,965,0.1482,Nascido,1
58.4,43.8,29.2,29.2,44.1,76.9,74.0,58.6,1.745,55.7,1069,1264,951,0.1311,Nascido,1
55.6,43.8,28.9,26.7,41.0,70.5,71.4,55.9,1.720,55.0,1074,1343,984,0.1255,Inicial,0
58.2,42.8,30.4,27.8,41.1,71.3,71.7,55.8,1.736,53.8,1072,1310,965,0.1543,Nascido,1
58.0,45.4,30.7,27.3,48.6,75.3,77.0,62.5,1.547,54.8,1083,1127,876,0.1314,Nascido,1
