@relation DeathDataBin

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute Dens_Arquimedes numeric
@attribute class {Media,Outros}

@data
59.33,46.27,30.65,28.68,51.24,74.19,80.24,66.52,1.45,58.70,1067.08,Outros
58.15,45.37,29.59,28.57,47.73,77.91,77.11,62.68,1.63,57.50,1076.64,Outros
55.62,43.80,28.93,26.69,40.96,70.46,71.38,55.88,1.72,55.00,1074.17,Outros
56.79,46.50,28.41,28.39,42.60,73.82,78.15,64.30,1.73,58.20,1075.62,Outros
57.44,45.91,29.35,28.09,41.73,71.89,77.54,63.39,1.72,56.10,1078.76,Outros
60.50,46.71,31.38,29.12,49.99,81.22,82.38,69.11,1.62,61.00,1066.16,Outros
59.93,44.33,31.75,28.18,42.38,68.70,76.66,61.66,1.62,54.90,1084.95,Outros
62.00,45.44,32.90,29.10,48.45,75.48,81.13,67.04,1.56,60.00,1075.04,Outros
59.00,42.20,30.62,28.39,30.47,57.82,71.28,55.01,1.90,53.20,1064.00,Outros
53.93,44.11,27.24,26.69,35.63,65.35,70.37,54.93,1.83,50.50,1061.03,Outros
57.06,42.74,28.91,28.16,38.08,67.52,70.56,54.57,1.77,50.00,1066.24,Outros
58.66,43.56,30.72,27.93,42.66,67.78,73.78,58.26,1.59,53.50,1067.86,Outros
63.21,44.02,33.61,29.61,45.89,70.58,79.21,64.14,1.54,58.70,1061.28,Outros
58.69,45.14,30.59,28.10,45.71,69.51,77.17,62.63,1.52,54.10,1073.40,Outros
57.68,44.71,30.71,26.97,42.91,76.65,75.26,60.37,1.79,58.20,1069.68,Outros
59.98,44.43,31.37,28.62,45.05,75.50,76.91,61.99,1.68,58.60,1065.26,Outros
57.22,44.39,29.98,27.24,38.87,69.89,74.13,59.02,1.80,55.70,1073.14,Outros
54.12,41.79,27.68,26.44,33.87,59.66,65.93,49.48,1.76,46.20,1059.94,Outros
56.99,42.18,30.13,26.85,37.41,65.56,69.36,53.08,1.75,52.30,1043.91,Outros
57.81,43.76,30.92,26.89,37.37,66.60,73.40,57.96,1.78,55.30,1069.56,Outros
60.32,43.17,31.28,29.04,39.00,67.18,74.57,58.87,1.72,55.30,1069.56,Outros
