@relation eggDataIMP2

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute class {Nascido,Morreu}

@data
58.521,44.212,30.404,28.118,42.011,68.739,75.029,59.897,1.636,53.900,Nascido
58.521,44.961,30.903,27.619,47.523,71.698,76.620,61.943,1.509,57.500,Nascido
59.484,43.676,30.367,29.117,44.702,68.973,74.825,59.413,1.543,56.000,Nascido
62.619,45.525,32.670,29.951,49.128,72.216,81.924,67.954,1.470,62.000,Nascido
59.780,44.505,32.813,26.967,49.802,70.326,76.915,61.998,1.412,55.600,Nascido
60.138,43.733,30.801,29.337,43.630,69.857,75.579,60.225,1.601,56.700,Nascido
59.332,46.273,30.653,28.680,51.240,74.191,80.237,66.520,1.448,58.700,Morreu
57.772,44.168,30.503,27.271,44.170,70.007,74.216,59.012,1.585,55.100,Nascido
56.544,42.487,29.385,27.161,38.375,64.871,69.575,53.445,1.690,52.200,Nascido
56.241,42.243,30.753,25.490,39.787,71.006,68.826,52.549,1.785,51.700,Nascido
58.151,45.370,29.587,28.565,47.731,77.910,77.109,62.675,1.632,57.500,Morreu
60.649,45.300,32.194,28.456,49.368,76.205,79.462,65.166,1.544,60.000,Nascido
58.541,45.231,29.655,28.886,44.015,72.518,77.200,62.710,1.648,58.200,Nascido
56.504,44.462,29.367,27.139,43.660,69.014,73.591,58.489,1.581,54.800,Nascido
54.660,43.631,28.825,25.837,41.490,68.355,70.120,54.484,1.647,53.300,Nascido
58.484,42.677,30.884,27.602,41.827,70.442,71.793,55.773,1.684,53.900,Nascido
53.898,43.831,28.705,25.193,38.752,66.080,69.803,54.218,1.705,51.200,Nascido
59.467,46.424,30.616,28.851,42.725,75.263,80.702,67.108,1.762,63.000,Nascido
57.735,42.926,30.367,27.369,41.555,71.058,71.598,55.705,1.710,54.500,Nascido
59.358,43.207,32.583,26.775,43.112,73.708,73.754,58.020,1.710,56.000,Nascido
58.357,43.780,29.179,29.179,44.084,76.943,73.955,58.566,1.745,55.700,Nascido
55.616,43.805,28.929,26.687,40.956,70.460,71.379,55.879,1.720,55.000,Morreu
58.186,42.781,30.350,27.836,41.067,71.302,71.720,55.759,1.736,53.800,Nascido
58.011,45.370,30.672,27.340,48.643,75.268,76.983,62.524,1.547,54.800,Nascido
59.109,43.207,30.068,29.042,45.399,71.846,73.478,57.778,1.583,52.200,Nascido
58.131,42.848,29.566,28.565,41.249,66.616,71.800,55.880,1.615,51.800,Nascido
56.274,45.231,28.907,27.369,47.303,71.726,74.963,60.283,1.516,54.500,Nascido
60.811,45.042,34.047,26.766,46.059,73.816,79.114,64.601,1.603,56.900,Nascido
59.765,44.278,30.613,29.153,28.438,56.121,76.378,61.353,1.973,53.600,Nascido
60.702,45.909,30.351,30.351,44.533,75.375,80.824,66.988,1.693,58.700,Nascido
56.313,44.448,30.284,26.030,41.080,71.770,73.393,58.253,1.747,53.500,Nascido
57.792,42.216,29.156,28.636,35.940,64.088,70.181,53.928,1.783,53.900,Nascido
61.716,45.134,31.342,30.375,46.765,75.155,80.150,65.828,1.607,62.600,Nascido
56.794,46.500,28.408,28.387,42.602,73.821,78.152,64.300,1.733,58.200,Morreu
58.737,45.132,30.005,28.732,43.040,72.146,77.184,62.644,1.676,55.100,Nascido
57.912,45.631,29.826,28.087,42.621,73.582,77.430,63.140,1.726,56.600,Nascido
57.560,44.547,29.960,27.600,42.826,72.487,74.795,59.807,1.693,55.800,Nascido
57.900,42.868,29.075,28.825,39.253,66.908,71.623,55.712,1.705,55.100,Nascido
56.499,43.889,28.484,28.016,40.113,74.261,72.393,56.984,1.851,54.700,Nascido
57.438,45.909,29.351,28.087,41.728,71.893,77.544,63.386,1.723,56.100,Morreu
54.488,43.194,27.388,27.102,36.010,64.918,69.066,53.232,1.803,48.400,Nascido
55.972,42.864,28.235,27.738,38.754,68.797,69.797,53.847,1.775,50.500,Nascido
57.615,42.589,30.059,27.556,38.892,63.769,70.788,54.719,1.640,52.000,Nascido
60.467,43.409,31.351,29.117,42.765,73.716,75.213,59.662,1.724,57.400,Nascido
60.500,46.709,31.383,29.117,49.989,81.217,82.381,69.113,1.625,61.000,Morreu
59.927,44.329,31.747,28.182,42.385,68.696,76.658,61.661,1.621,54.900,Morreu
61.946,43.805,32.467,29.479,47.728,76.217,77.495,62.239,1.597,56.900,Nascido
60.625,43.032,30.947,29.677,40.831,69.186,74.558,58.781,1.694,56.300,Nascido
60.273,42.735,31.494,28.782,42.554,69.251,73.605,57.639,1.627,53.600,Nascido
62.029,47.429,31.029,31.000,50.718,76.247,85.554,73.062,1.503,62.800,Nascido
56.632,41.503,30.695,25.940,36.435,61.872,67.692,51.080,1.698,50.000,Nascido
61.999,45.442,32.900,29.101,48.445,75.481,81.126,67.037,1.558,60.000,Morreu
61.622,47.543,31.922,29.702,52.885,80.857,85.393,72.932,1.529,65.700,Nascido
57.924,42.880,30.101,27.824,42.100,68.472,71.679,55.768,1.626,54.100,Nascido
60.829,45.502,30.653,30.176,48.175,80.045,80.065,65.944,1.662,61.500,Nascido
61.593,46.219,31.029,30.564,48.194,74.788,82.409,68.892,1.552,61.700,Nascido
58.130,43.433,29.683,28.447,44.144,71.535,73.013,57.416,1.620,53.400,Nascido
57.317,45.087,29.320,27.997,46.233,76.662,75.687,61.010,1.658,55.500,Nascido
57.859,43.780,30.176,27.683,44.818,72.434,73.483,58.066,1.616,54.500,Nascido
