@relation eggData.arff-weka.filters.unsupervised.attribute.Remove-R11-15

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute class {0,1}

@data
58.5,44.2,30.4,28.1,42,68.7,75,59.9,1.636,53.9,1
58.5,45,30.9,27.6,47.5,71.7,76.6,61.9,1.509,57.5,1
59.5,43.7,30.4,29.1,44.7,69,74.8,59.4,1.543,56,1
62.6,45.5,32.7,30,49.1,72.2,81.9,68,1.47,62,1
59.8,44.5,32.8,27,49.8,70.3,76.9,62,1.412,55.6,1
60.1,43.7,30.8,29.3,43.6,69.9,75.6,60.2,1.601,56.7,1
59.3,46.3,30.7,28.7,51.2,74.2,80.2,66.5,1.448,58.7,0
57.8,44.2,30.5,27.3,44.2,70,74.2,59,1.585,55.1,1
56.5,42.5,29.4,27.2,38.4,64.9,69.6,53.4,1.69,52.2,1
56.2,42.2,30.8,25.5,39.8,71,68.8,52.5,1.785,51.7,1
58.2,45.4,29.6,28.6,47.7,77.9,77.1,62.7,1.632,57.5,0
60.6,45.3,32.2,28.5,49.4,76.2,79.5,65.2,1.544,60,1
58.5,45.2,29.7,28.9,44,72.5,77.2,62.7,1.648,58.2,1
56.5,44.5,29.4,27.1,43.7,69,73.6,58.5,1.581,54.8,1
54.7,43.6,28.8,25.8,41.5,68.4,70.1,54.5,1.647,53.3,1
58.5,42.7,30.9,27.6,41.8,70.4,71.8,55.8,1.684,53.9,1
53.9,43.8,28.7,25.2,38.8,66.1,69.8,54.2,1.705,51.2,1
59.5,46.4,30.6,28.9,42.7,75.3,80.7,67.1,1.762,63,1
57.7,42.9,30.4,27.4,41.6,71.1,71.6,55.7,1.71,54.5,1
59.4,43.2,32.6,26.8,43.1,73.7,73.8,58,1.71,56,1
58.4,43.8,29.2,29.2,44.1,76.9,74,58.6,1.745,55.7,1
55.6,43.8,28.9,26.7,41,70.5,71.4,55.9,1.72,55,0
58.2,42.8,30.4,27.8,41.1,71.3,71.7,55.8,1.736,53.8,1
58,45.4,30.7,27.3,48.6,75.3,77,62.5,1.547,54.8,1
59.1,43.2,30.1,29,45.4,71.8,73.5,57.8,1.583,52.2,1
58.1,42.8,29.6,28.6,41.2,66.6,71.8,55.9,1.615,51.8,1
56.3,45.2,28.9,27.4,47.3,71.7,75,60.3,1.516,54.5,1
60.8,45,34,26.8,46.1,73.8,79.1,64.6,1.603,56.9,1
59.8,44.3,30.6,29.2,28.4,56.1,76.4,61.4,1.973,53.6,1
60.7,45.9,30.4,30.4,44.5,75.4,80.8,67,1.693,58.7,1
56.3,44.4,30.3,26,41.1,71.8,73.4,58.3,1.747,53.5,1
57.8,42.2,29.2,28.6,35.9,64.1,70.2,53.9,1.783,53.9,1
61.7,45.1,31.3,30.4,46.8,75.2,80.1,65.8,1.607,62.6,1
56.8,46.5,28.4,28.4,42.6,73.8,78.2,64.3,1.733,58.2,0
58.7,45.1,30,28.7,43,72.1,77.2,62.6,1.676,55.1,1
57.9,45.6,29.8,28.1,42.6,73.6,77.4,63.1,1.726,56.6,1
57.6,44.5,30,27.6,42.8,72.5,74.8,59.8,1.693,55.8,1
57.9,42.9,29.1,28.8,39.3,66.9,71.6,55.7,1.705,55.1,1
56.5,43.9,28.5,28,40.1,74.3,72.4,57,1.851,54.7,1
57.4,45.9,29.4,28.1,41.7,71.9,77.5,63.4,1.723,56.1,0
54.5,43.2,27.4,27.1,36,64.9,69.1,53.2,1.803,48.4,1
56,42.9,28.2,27.7,38.8,68.8,69.8,53.8,1.775,50.5,1
57.6,42.6,30.1,27.6,38.9,63.8,70.8,54.7,1.64,52,1
60.5,43.4,31.4,29.1,42.8,73.7,75.2,59.7,1.724,57.4,1
60.5,46.7,31.4,29.1,50,81.2,82.4,69.1,1.625,61,0
59.9,44.3,31.7,28.2,42.4,68.7,76.7,61.7,1.621,54.9,0
61.9,43.8,32.5,29.5,47.7,76.2,77.5,62.2,1.597,56.9,1
60.6,43,30.9,29.7,40.8,69.2,74.6,58.8,1.694,56.3,1
60.3,42.7,31.5,28.8,42.6,69.3,73.6,57.6,1.627,53.6,1
62,47.4,31,31,50.7,76.2,85.6,73.1,1.503,62.8,1
56.6,41.5,30.7,25.9,36.4,61.9,67.7,51.1,1.698,50,1
62,45.4,32.9,29.1,48.4,75.5,81.1,67,1.558,60,0
61.6,47.5,31.9,29.7,52.9,80.9,85.4,72.9,1.529,65.7,1
57.9,42.9,30.1,27.8,42.1,68.5,71.7,55.8,1.626,54.1,1
60.8,45.5,30.7,30.2,48.2,80,80.1,65.9,1.662,61.5,1
61.6,46.2,31,30.6,48.2,74.8,82.4,68.9,1.552,61.7,1
58.1,43.4,29.7,28.4,44.1,71.5,73,57.4,1.62,53.4,1
57.3,45.1,29.3,28,46.2,76.7,75.7,61,1.658,55.5,1
57.9,43.8,30.2,27.7,44.8,72.4,73.5,58.1,1.616,54.5,1
60.4,43.8,30.9,29.4,49.4,73.1,75.8,60.5,1.48,58.3,1
60.3,47.7,31.2,29.1,58.3,84.2,84.4,71.9,1.446,64,1
59.3,43,30.7,28.7,43.9,68.4,73.3,57.5,1.559,56.1,1
58.5,45.9,30.3,28.2,49.8,81.6,78.5,64.4,1.638,60.2,1
60.5,44.6,33.6,26.9,46.7,77.9,77.8,63,1.669,59,1
57.5,42.5,28.9,28.6,36.7,64.9,70.4,54.3,1.77,51.5,1
58.4,42.3,30.5,28,37,66.9,71,54.8,1.809,53.6,1
57.5,43.9,29.4,28.1,40.1,69.3,73.5,58.1,1.729,56.2,1
55.6,44,28.7,26.9,38.7,66.5,71.8,56.4,1.719,57.7,1
60.9,45.8,30.7,30.2,48,75.9,80.8,66.9,1.582,58.1,1
62.1,45.3,33.7,28.4,46.1,74.2,80.9,66.7,1.61,59.8,1
60.8,42.7,31.9,28.9,36.5,65.1,74.1,58.1,1.783,53.5,1
58.3,45.5,31.7,26.6,44.9,74.6,77.5,63.1,1.662,57.4,1
60.9,44.6,31.6,29.3,47.4,71.2,78.2,63.5,1.501,56.7,1
60.6,45.2,30.8,29.8,47.2,75.4,79.3,64.9,1.597,57.4,1
58.9,44.6,30.2,28.7,43.1,72.7,76.2,61.3,1.685,54.7,1
60.1,44.3,30.7,29.4,43,73.8,76.7,61.7,1.715,57.4,1
55.4,41.1,28.3,27.1,36.6,65.9,65.8,49.1,1.801,48.9,1
58.7,44.7,31.6,27.1,43,74.6,76.3,61.4,1.734,59.9,1
59.6,45.2,29.8,29.8,43.2,73.4,78.1,63.7,1.7,57.4,1
58.5,48.4,31.2,27.2,47.6,80.8,84,71.7,1.698,62.6,1
57.9,44.8,29.4,28.5,39.8,71.2,75.6,60.8,1.786,54.8,1
59,45.2,30.7,28.4,40.3,71,77.7,63.2,1.763,58.6,1
63.6,45.3,32.2,31.4,46.7,77.8,82.4,68.4,1.666,65.4,1
57.4,43.5,31.4,25.9,40.2,69.8,72.5,56.9,1.736,55.3,1
53.9,44.1,27.2,26.7,35.6,65.3,70.4,54.9,1.834,50.5,0
59.2,46.4,29.8,29.5,47.1,80.7,80.4,66.8,1.715,59.7,1
59.2,45.4,31.9,27.3,46,74.3,78.3,64,1.615,58.5,1
60.6,45.8,30.7,29.9,44,75,80.4,66.4,1.702,62.3,1
57.2,44.4,30,27.2,38.6,69.2,74,58.9,1.794,58.4,1
58,42.4,30.4,27.6,36.5,66.7,70.8,54.7,1.828,53.4,1
59.3,44.3,31.4,27.9,39,69,75.9,60.8,1.768,56.9,1
56.3,44.2,28.5,27.8,41.4,69.6,72.8,57.5,1.684,53,1
58.7,46.3,30,28.7,46.9,74.5,79.7,66,1.587,57.6,1
60.7,44.9,33.5,27.2,45.3,75.6,78.6,63.9,1.668,57.6,1
56.7,42.7,30.1,26.6,36.8,65.5,70.1,54.1,1.782,50.4,1
61.4,46.1,33.1,28.4,49.8,82.4,82.1,68.5,1.654,62.1,1
60.8,45.4,31.1,29.6,48.5,81.5,79.9,65.7,1.679,59.6,1
59.7,45.7,33.6,26.1,45.7,78.4,79.4,65.3,1.717,56.9,1
59.6,44.9,30,29.5,43.3,74.7,77.6,63,1.725,55.8,1
56.1,42.3,29.4,26.7,37.3,67.6,68.7,52.5,1.813,50,1
60.1,44.8,30.4,29.7,45.3,78.6,77.7,63,1.735,61.9,1
56.2,42.2,29.1,27.1,36.7,67.5,68.7,52.5,1.838,52.2,1
58,45,29.7,28.4,44,76.1,76.2,61.5,1.732,55.2,1
60.3,46.7,30.9,29.4,49.3,82,82.2,68.9,1.662,60.4,1
59.4,46.1,30.6,28.8,45.8,78.5,80,66.2,1.716,58.6,1
60.3,46,31.2,29.2,48.3,82.1,80.6,66.8,1.7,62.5,1
60.5,45.7,31.1,29.4,48.3,80.8,80.1,66.1,1.674,64.4,1
56.7,42.9,30.3,26.3,40.3,70.2,70.5,54.6,1.739,53.9,1
56.5,44.2,30.7,25.9,38.3,68,73.2,57.9,1.775,53.5,1
56.6,45.4,30.1,26.6,42.5,72.3,75.6,61,1.699,55.8,1
58,44.2,29.1,28.9,39.4,68.8,74.5,59.3,1.749,55.5,1
56.8,44,31.4,25.4,40.4,69.1,73,57.6,1.708,53.6,1
57.8,43.2,29.2,28.7,42.6,72.5,72.3,56.6,1.704,54.9,1
57.5,43.2,28.9,28.6,42.4,69.9,71.8,56,1.649,55.2,1
57.1,45.5,29.4,27.7,38.4,67.1,76.4,62,1.748,58.9,1
57.4,45.4,29.8,27.6,45.4,75.7,76.4,61.9,1.667,56.4,1
63.4,45,35.2,28.2,50.7,83.2,81.6,67.3,1.639,58.2,1
60.9,45.4,33.6,27.3,46.6,78.7,79.9,65.7,1.688,57.9,1
60,44.7,30.6,29.4,43.9,74.4,77.4,62.7,1.697,57.3,1
57.1,42.7,28.9,28.2,38.1,67.5,70.6,54.6,1.773,50,0
61.8,45.4,31.8,30,47.5,78,80.9,66.7,1.643,59.8,1
61.7,47.2,32.3,29.5,53.1,84.4,84.6,71.9,1.589,62.2,1
58.8,44.5,30.9,27.9,42.2,73.8,75.9,60.9,1.748,54.6,1
59.1,46.5,30.2,28.9,44.2,75.2,80.5,66.9,1.704,60.2,1
59.2,44.9,30.3,28.8,42.6,73.6,77.1,62.4,1.73,60,1
59.8,45.1,30.4,29.4,43.3,73.6,78.2,63.8,1.7,61.7,1
59.7,45.1,30,29.8,44.5,75.5,78.2,63.7,1.696,57.6,1
57.5,45.3,29,28.5,42.5,73.7,76.3,61.7,1.735,54,1
52.5,43.2,27.6,24.9,32.6,63.3,67.2,51.3,1.94,46.7,1
57.5,44.6,30.2,27.2,42,72,74.9,59.9,1.715,56.8,1
61.9,44.4,31.3,30.6,46.9,77.1,78.7,63.9,1.645,63.5,1
58.5,44.4,29.9,28.6,41,71.9,75.4,60.4,1.752,58.3,1
57,46.7,28.6,28.4,45.4,76.7,78.9,65.3,1.688,59.9,1
59.5,47.2,32.4,27.1,48.4,78.8,82.4,69.3,1.63,61.3,1
57.3,46,29.4,27.9,45,74.2,77.7,63.6,1.647,58.3,1
54.5,43.8,28.4,26.1,39.9,71.9,70.3,54.7,1.803,50.5,1
57.5,44,28.9,28.7,42.9,71.9,73.6,58.3,1.676,55.8,1
58.6,44.3,29.9,28.7,43,75,75.2,60.1,1.743,58,1
58.7,45.4,30.2,28.5,42,72.8,77.7,63.3,1.733,57.5,1
58.1,47.1,29.6,28.6,49.6,76.3,80.8,67.5,1.538,60.2,1
56.8,43,29.2,27.6,39.8,68.9,70.8,54.9,1.73,51.9,1
59,45.7,30.7,28.4,49,79,78.7,64.6,1.613,62,1
59,44.1,30.5,28.5,45.3,74.5,75.3,60.2,1.644,57.8,1
57.8,46.1,29.2,28.5,46.8,78.5,78.2,64.2,1.676,58.6,1
58.9,42.3,29.5,29.4,43.7,72.9,71.4,55.2,1.666,54.5,1
59.2,43.9,30.6,28.6,47.3,81.7,75.1,59.8,1.729,58.4,1
57.9,44.2,31.5,26.4,45.5,69.2,74.4,59.2,1.522,53.2,1
